Ratios,X1,X2,X3
B,1.89,2.45,1.63
B,1.92,2.6,2.17
B,2.17,2.76,1.92
B,2.21,2.99,2.13
B,1.71,2.39,1.58
B,1.92,2.62,1.73
B,2.13,2.78,2.01
B,1.92,2.55,1.85
B,1.7,2.44,1.92
B,2.01,2.76,1.86
B,1.95,2.42,1.92
B,2.05,2.63,1.92
B,1.8,2.52,1.67
B,1.92,2.83,1.83
B,2,2.94,1.88
B,1.92,2.77,1.77
B,2,2.87,1.73
B,1.81,2.55,1.83
B,1.92,2.87,1.98
G,1.81,3.05,2.09
G,1.58,2.37,1.88
G,1.84,3,2.31
G,1.71,2.73,2.13
G,1.81,2.97,2.24
G,1.81,2.08,2.23
G,1.77,3.01,2.21
G,1.98,3.08,1.97
G,1.8,2.86,2.14
G,1.77,2.99,1.92
G,1.76,3.17,2.13
G,1.92,3.12,2.09
G,1.76,2.85,2
G,1.69,2.87,2.14
G,1.64,2.65,1.92
G,1.81,3.08,2.04
G,1.92,2.76,2.09
G,1.81,2.78,2.35
G,1.75,2.71,1.92
G,1.97,3.03,2.05
